Site,County,Location,Site type,Element,Age,Sex,Lab code,14C BP,±,  95% cal BC,cal BC,median,d13C,d15N,C:N,,,,,
Killuragh,Limerick,inland,cave,"radius, R",adult,I,OxA-25558,3599,29,2028,1890,1956,-21.1,11.5,N/A,,,,,
Killuragh,Limerick,inland,cave,"tibia, L",infant,I,GrA-27185,3890,40,2474,2211,2342.5,-22.9,11.8,N/A,,,,,
Killuragh,Limerick,inland,cave,"scapula, R",infant,I,GrA-27233,3785,40,2397,2043,2220,-23.4,11.8,N/A,,,,,
Knowth,Meath,inland,passage tomb,metatarsal,adult,I,OxA-21932,4472,30,3339,3027,3222,-21.4,10.1,3.1,,,,,
Knowth,Meath,inland,passage tomb,metacarpal,adult,I,OxA-21936,4399,30,3261,2917,3011,-21.5,10.2,3.1,,,,,
Knowth,Meath,inland,passage tomb,metatarsal,adult,I,"UBA-12674, OxA-21930",4396,18,3090,2923,2997,-21.5,10.6,3.2,,,,,
Knowth,Meath,inland,passage tomb,mandible,adult,M,OxA-21927,4388,29,3091,2918,2991,-21.1,10.7,3.1,,,,,
Knowth,Meath,inland,passage tomb,vertebra,adult,I,OxA-21933,4430,31,3327,2926,3068,-21.6,10.7,3.2,,,,,
Knowth,Meath,inland,passage tomb,cranium,adult,I,OxA-21984,4450,45,3339,2931,3150,-21.9,10.7,3.1,,,,,
Knowth,Meath,inland,passage tomb,mandible,adult,F,OxA-21928,4423,29,3322,2922,3055,-21.0,10.8,3.1,,,,,
Knowth,Meath,inland,passage tomb,rib,adult,I,OxA-21925,4401,30,3263,2917,3014,-21.5,10.9,3.1,,,,,
Knowth,Meath,inland,passage tomb,phalanx,adult,I,OxA-21937,4377,29,3089,2911,2982,-22.5,10.9,3.1,,,,,
Knowth,Meath,inland,passage tomb,vertebra,adult,I,OxA-21934,4480,31,3341,3029,3222,-21.2,11.1,3.2,,,,,
Knowth,Meath,inland,passage tomb,cranium,adolescent,I,OxA-21931,4428,29,3323,2926,3063,-21.7,10.8,3.1,,,,,
Knowth,Meath,inland,passage tomb,vertebra,infant,I,OxA-21935,4470,31,3339,3026,3219,-21.1,11.1,3.1,,,,,
Knowth,Meath,inland,passage tomb,tibia,infant,I,OxA-21876,4386,29,3087,2937,2989,-22.2,12.2,3.1,,,,,
Knowth,Meath,inland,passage tomb,ilium,infant,I,OxA-21929,4383,31,3091,2915,2988,-21.3,12.8,3.1,,,,,
Millin Bay,Down,coastal,passage tomb?,R humerus,adolescent,I,OxA-X-2212-15,4740,32,3636,3379,3559,-21.1,9.7,3.4,,,,,
Millin Bay,Down,coastal,passage tomb?,mandible,adult,M,OxA-16106,4597,30,3500,3130,3369,-21.6,10.9,3.3,,,,,
Millin Bay,Down,coastal,passage tomb?,mandible,adult,M,OxA-16107,4592,30,3500,3127,3364,-21.2,11.5,3.3,,,,,
Millin Bay,Down,coastal,passage tomb?,"petrous, L",adolescent,M,UBA-35071,4548,51,3495,3040,3224,-21.6,11.1,3.3,,,,,
"MotH, Tara",Meath,inland,passage tomb,cranium,adult,I,GrA-17679,4415,40,2916,2916,3049,-22.0,12.5,N/A,,,,,
"MotH, Tara",Meath,inland,passage tomb,cranium,adult,I,GrA-17678,4390,45,2902,2902,3010,-22.5,11.7,N/A,,,,,
"MotH, Tara",Meath,inland,passage tomb,cranium,adult,I,GrA-17682,4370,40,2903,2903,2985,-22.3,10.6,N/A,,,,,
